champion,Summoner_name,win,assists,spell1,spell2,totalDamageDealt,goldEarned,champLevel,deaths,firstBloodKill,firstTowerKill,individualPosition,kills,physicalDamageDealt,magicDamageDealt,trueDamageDealt,wardsPlaced,matchId,gameDuration
Malzahar,gaskossa,1,16,SummonerTeleport,SummonerFlash,251230,20781,18,10,0,0,BOTTOM,24,5356,245395,478,12,EUW1_6322881207,2474
Senna,dyrker,1,26,SummonerHeal,SummonerFlash,184949,17138,18,9,0,1,UTILITY,8,170724,1775,12450,13,EUW1_6322881207,2474
TahmKench,Zerovskij,0,18,SummonerFlash,SummonerTeleport,119380,13623,18,11,0,0,TOP,4,29939,72231,17210,15,EUW1_6322881207,2474
Ryze,Kim Jong Gandih,0,17,SummonerFlash,SummonerSmite,317757,21639,18,9,0,0,JUNGLE,17,17780,261797,38180,2,EUW1_6322881207,2474
Sylas,SecretsPrompt,0,14,SummonerTeleport,SummonerFlash,148605,18590,18,14,1,0,MIDDLE,11,8070,132065,8469,20,EUW1_6322881207,2474
Nilah,Amico Mio,0,15,SummonerExhaust,SummonerFlash,394949,20868,18,15,0,0,BOTTOM,11,386820,0,8129,7,EUW1_6322881207,2474
Lux,Alpaca00,0,14,SummonerExhaust,SummonerFlash,156674,13510,17,17,0,0,UTILITY,5,8509,127667,20498,24,EUW1_6322881207,2474
Urgot,Sir Ayudita,0,9,SummonerFlash,SummonerTeleport,99537,9661,13,10,0,0,TOP,6,94027,1258,4251,10,EUW1_6321421234,1588
Belveth,Sir Emeterius,0,8,SummonerSmite,SummonerFlash,190583,12968,14,10,0,0,JUNGLE,8,135681,8067,46834,5,EUW1_6321421234,1588
Lux,  Sir Patitø,0,12,SummonerFlash,SummonerBarrier,87390,7538,13,8,0,0,MIDDLE,2,7657,77874,1858,5,EUW1_6321421234,1588
Kalista,XLDrakenXL,0,6,SummonerFlash,SummonerHeal,119295,13764,14,10,0,0,BOTTOM,8,111741,1800,5754,8,EUW1_6321421234,1588
Taric,noo onee,0,11,SummonerFlash,SummonerDot,28895,6838,11,11,0,0,UTILITY,1,7508,15346,6040,18,EUW1_6321421234,1588
Sett,Ale866,1,6,SummonerDot,SummonerFlash,122477,12586,15,7,0,1,TOP,7,100665,161,21650,11,EUW1_6321421234,1588
Hecarim,Zerovskij,1,17,SummonerHaste,SummonerSmite,155632,12404,14,2,0,0,JUNGLE,9,110107,12926,32598,10,EUW1_6321421234,1588
TwistedFate,Kim Jong Gandih,1,21,SummonerFlash,SummonerBarrier,93133,8975,14,4,0,0,MIDDLE,0,29767,59734,3631,6,EUW1_6321421234,1588
Pyke,SecretsPrompt,1,15,SummonerDot,SummonerFlash,36737,12760,12,4,0,0,UTILITY,17,23127,0,13609,23,EUW1_6321421234,1588
Zeri,Amico Mio,1,15,SummonerHaste,SummonerFlash,154589,15614,15,8,1,0,BOTTOM,16,114335,24845,15409,8,EUW1_6321421234,1588
Kennen,SecretsPrompt,0,13,SummonerTeleport,SummonerFlash,106188,11415,16,12,0,0,TOP,5,17377,84725,4085,15,EUW1_6321349425,2017
Ryze,Kim Jong Gandih,0,12,SummonerFlash,SummonerSmite,146788,12053,16,10,0,0,MIDDLE,7,11319,126973,8495,10,EUW1_6321349425,2017
Nasus,Amico Mio,0,14,SummonerSmite,SummonerHaste,338432,14511,17,9,0,0,JUNGLE,5,257914,37295,43220,0,EUW1_6321349425,2017
Xayah,Zerovskij,0,6,SummonerFlash,SummonerHeal,186729,16136,16,9,0,0,BOTTOM,13,183500,844,2385,13,EUW1_6321349425,2017
Thresh,Ale866,0,18,SummonerExhaust,SummonerFlash,28427,7852,14,15,0,1,UTILITY,0,7009,18074,3343,28,EUW1_6321349425,2017
Pantheon,Hazíel,1,11,SummonerTeleport,SummonerFlash,115503,11386,17,7,0,0,TOP,5,108780,6722,0,8,EUW1_6321349425,2017
Udyr,CLOCHARDRAPIDE,1,28,SummonerHaste,SummonerSmite,276630,16872,18,1,0,0,JUNGLE,9,70647,155105,50877,3,EUW1_6321349425,2017
Nautilus,λrchaïque,1,23,SummonerFlash,SummonerDot,27037,9983,15,9,0,0,UTILITY,6,9167,11431,6438,26,EUW1_6321349425,2017
Ashe,FNG Vaderetro,1,14,SummonerHeal,SummonerFlash,130036,13566,15,9,1,0,BOTTOM,13,109358,6061,14615,13,EUW1_6321349425,2017
Qiyana,Cηrsyy,1,9,SummonerTeleport,SummonerFlash,186571,17904,18,4,0,0,MIDDLE,22,166250,17896,2425,3,EUW1_6321349425,2017
Gwen,SimberGWENza,1,9,SummonerDot,SummonerTeleport,229346,15604,17,10,0,0,TOP,9,39767,131985,57593,12,EUW1_6318542855,1810
Karthus,IburnRlto,1,7,SummonerSmite,SummonerFlash,285350,15183,17,9,0,0,JUNGLE,11,6298,236635,42417,5,EUW1_6318542855,1810
Zilean,DiosIvanMT,1,10,SummonerTeleport,SummonerFlash,108877,11614,16,9,0,0,MIDDLE,8,6500,93367,9009,11,EUW1_6318542855,1810
MissFortune,Baby mit Bart,1,10,SummonerHeal,SummonerFlash,162871,13452,14,14,0,0,BOTTOM,8,139305,977,22587,4,EUW1_6318542855,1810
Zyra,SUP Zyrawesome,1,15,SummonerFlash,SummonerBarrier,70185,11485,14,8,0,0,UTILITY,7,5329,64743,111,26,EUW1_6318542855,1810
Pyke,SecretsPrompt,0,19,SummonerDot,SummonerFlash,33056,11049,14,5,1,0,JUNGLE,10,24740,0,8315,21,EUW1_6318542855,1810
Zac,Kim Jong Gandih,0,14,SummonerFlash,SummonerSmite,162758,14486,15,7,0,0,JUNGLE,15,17515,123591,21651,9,EUW1_6318542855,1810
Orianna,Amico Mio,0,20,SummonerBarrier,SummonerFlash,151727,13439,16,10,0,0,MIDDLE,10,14592,131953,5181,7,EUW1_6318542855,1810
Jhin,Zerovskij,0,10,SummonerFlash,SummonerHeal,129796,12212,15,11,0,0,JUNGLE,9,119041,8260,2495,7,EUW1_6318542855,1810
Kennen,Peppe2502,0,14,SummonerTeleport,SummonerFlash,94810,10481,15,10,0,0,TOP,5,11914,80254,2641,1,EUW1_6318542855,1810
Warwick,Step Brolaf,1,17,SummonerBarrier,SummonerFlash,123865,14465,18,12,0,0,TOP,6,77259,42941,3665,15,EUW1_6318445600,2439
XinZhao,HarterSchanker69,1,10,SummonerSmite,SummonerFlash,333069,18229,18,14,0,0,JUNGLE,12,253974,20282,58812,7,EUW1_6318445600,2439
Lissandra,DigSuckerRiven,1,14,SummonerFlash,SummonerTeleport,200229,15120,18,13,0,0,MIDDLE,8,15602,183475,1150,7,EUW1_6318445600,2439
Kaisa,MaBoRokun,1,16,SummonerFlash,SummonerHeal,456635,27180,18,4,0,1,BOTTOM,30,358004,56015,42616,13,EUW1_6318445600,2439
Leona,AniReyjOne,1,32,SummonerFlash,SummonerDot,46419,13364,17,10,0,0,UTILITY,5,10803,25856,9758,23,EUW1_6318445600,2439
Volibear,Peppe2502,0,19,SummonerTeleport,SummonerHaste,132377,13071,16,12,0,0,TOP,4,60172,69219,2985,7,EUW1_6318445600,2439
Ekko,SecretsPrompt,0,17,SummonerSmite,SummonerFlash,248161,15189,17,10,0,0,JUNGLE,7,31979,175570,40611,16,EUW1_6318445600,2439
Chogath,Kim Jong Gandih,0,15,SummonerFlash,SummonerTeleport,290189,21317,18,8,0,0,MIDDLE,20,20007,250242,19939,10,EUW1_6318445600,2439
TahmKench,Zerovskij,0,22,SummonerFlash,SummonerDot,72171,13165,16,15,1,0,UTILITY,8,13612,51432,7126,30,EUW1_6318445600,2439
Jinx,Amico Mio,0,14,SummonerHaste,SummonerFlash,408714,20705,18,16,0,0,BOTTOM,14,388152,1351,19209,8,EUW1_6318445600,2439
Hecarim,Amico Mio,0,19,SummonerSmite,SummonerHaste,377511,16160,18,6,0,0,JUNGLE,4,284040,35136,58334,2,EUW1_6313421457,2414
Twitch,Zerovskij,0,14,SummonerFlash,SummonerHeal,199350,14508,17,7,1,0,BOTTOM,5,163355,1189,34805,14,EUW1_6313421457,2414
Garen,Ale866,0,8,SummonerTeleport,SummonerFlash,263123,15877,18,2,0,0,TOP,6,255344,0,7778,13,EUW1_6313421457,2414
AurelionSol,Kim Jong Gandih,0,8,SummonerFlash,SummonerTeleport,303435,24175,18,6,0,1,MIDDLE,20,12853,263601,26979,15,EUW1_6313421457,2414
Blitzcrank,ErrGeGiu,0,17,SummonerExhaust,SummonerFlash,38002,9653,15,8,0,0,UTILITY,1,8611,16571,12820,34,EUW1_6313421457,2414
Yorick,PzU COCO,1,8,SummonerFlash,SummonerTeleport,239059,16932,18,6,0,0,TOP,7,186515,45162,7381,11,EUW1_6313421457,2414
Nilah,PzU Luny,1,15,SummonerFlash,SummonerHeal,353496,20581,18,8,0,0,BOTTOM,10,350402,1272,1822,14,EUW1_6313421457,2414
Zac,PzU MusicMonk,1,9,SummonerSmite,SummonerFlash,208323,13355,18,6,0,0,JUNGLE,4,32554,135635,40133,12,EUW1_6313421457,2414
Ziggs,COCO THE MONK,1,7,SummonerTeleport,SummonerFlash,204712,13904,18,9,0,0,MIDDLE,5,16944,174914,12852,17,EUW1_6313421457,2414
Rakan,PzU XodboX,1,19,SummonerFlash,SummonerDot,43231,12548,17,7,0,0,UTILITY,3,9862,25276,8092,49,EUW1_6313421457,2414
Maokai,BAGET BOBOSS,1,14,SummonerSmite,SummonerFlash,258744,13449,16,3,1,0,JUNGLE,5,22743,173443,62558,1,EUW1_6313286173,2153
Illaoi,Ara the Eternal,1,6,SummonerFlash,SummonerTeleport,344044,17804,18,8,0,1,TOP,6,341875,0,2169,14,EUW1_6313286173,2153
Jinx,Ogeu,1,8,SummonerHeal,SummonerFlash,222560,17206,16,4,0,0,BOTTOM,9,194790,615,27154,11,EUW1_6313286173,2153
Viktor,Conc3de,1,8,SummonerFlash,SummonerTeleport,170648,12440,16,7,0,0,MIDDLE,5,14785,153661,2202,16,EUW1_6313286173,2153
Thresh,CestMoi Jax,1,15,SummonerFlash,SummonerDot,30372,9362,14,7,0,0,UTILITY,2,6977,18526,4868,21,EUW1_6313286173,2153
Shyvana,Amico Mio,0,8,SummonerSmite,SummonerFlash,316965,17217,17,4,0,0,JUNGLE,11,60542,222275,34148,3,EUW1_6313286173,2153
Twitch,Zerovskij,0,10,SummonerFlash,SummonerHeal,210569,16575,17,5,0,0,BOTTOM,11,180505,263,29800,13,EUW1_6313286173,2153
Yorick,Ale866,0,7,SummonerTeleport,SummonerFlash,99429,9782,15,5,0,0,TOP,2,79079,20081,268,7,EUW1_6313286173,2153
Chogath,Kim Jong Gandih,0,11,SummonerFlash,SummonerTeleport,202150,13430,18,6,0,0,MIDDLE,5,20256,163630,18263,14,EUW1_6313286173,2153
Blitzcrank,ErrGeGiu,0,14,SummonerExhaust,SummonerFlash,25527,8076,13,7,0,0,UTILITY,0,9174,9000,7352,22,EUW1_6313286173,2153
Sejuani,Amico Mio,1,17,SummonerSmite,SummonerFlash,406254,21414,18,4,0,0,JUNGLE,12,188811,128507,88935,6,EUW1_6311837136,2636
Nautilus,Peppe2502,1,21,SummonerDot,SummonerFlash,49745,11848,17,7,0,0,UTILITY,2,17895,24385,7465,29,EUW1_6311837136,2636
Kaisa,speraci,1,8,SummonerBoost,SummonerFlash,283054,20981,18,9,1,0,BOTTOM,14,233405,29927,19721,15,EUW1_6311837136,2636
Yone,Kim Jong Gandih,1,12,SummonerFlash,SummonerDot,277231,17829,18,5,0,0,MIDDLE,8,226100,36663,14466,15,EUW1_6311837136,2636
Sylas,SecretsPrompt,1,11,SummonerTeleport,SummonerFlash,251131,15945,18,9,0,1,TOP,3,10952,214176,26002,18,EUW1_6311837136,2636
Pantheon,fear the spears,0,12,SummonerFlash,SummonerSmite,336620,20239,18,10,0,0,JUNGLE,14,305320,5320,25978,1,EUW1_6311837136,2636
Twitch,Peeling Banana,0,9,SummonerHaste,SummonerFlash,350892,22313,18,5,0,0,BOTTOM,15,287869,11814,51207,13,EUW1_6311837136,2636
Zoe,ss mid by zoe,0,17,SummonerFlash,SummonerDot,159596,13538,18,7,0,0,MIDDLE,0,17408,132935,9251,14,EUW1_6311837136,2636
Lulu,SORAKAMONOGAMOUS,0,19,SummonerFlash,SummonerDot,7494,9911,16,8,0,0,UTILITY,0,1986,5106,401,34,EUW1_6311837136,2636
Malphite,Adrαmmεlεch,0,15,SummonerTeleport,SummonerFlash,257637,17155,18,9,0,0,TOP,5,112420,115329,29887,9,EUW1_6311837136,2636
Mordekaiser,Buchstabenrif,0,2,SummonerHaste,SummonerTeleport,163251,11679,16,6,0,0,TOP,5,23481,132604,7164,9,EUW1_6311748918,1974
Thresh,I Hate Randoms,0,13,SummonerExhaust,SummonerFlash,22883,8355,13,9,0,0,UTILITY,1,5542,13473,3867,23,EUW1_6311748918,1974
Sejuani,BiercuIes,0,9,SummonerFlash,SummonerSmite,163516,10673,14,10,0,0,JUNGLE,6,76819,43489,43208,6,EUW1_6311748918,1974
Xayah,M5 BenQ InViKTuZ,0,6,SummonerHeal,SummonerFlash,225872,13958,15,4,0,0,BOTTOM,7,221764,861,3246,9,EUW1_6311748918,1974
Annie,SexyUrgot,0,10,SummonerDot,SummonerFlash,134170,12049,16,6,0,0,MIDDLE,6,7059,119293,7817,8,EUW1_6311748918,1974
XinZhao,Amico Mio,1,17,SummonerSmite,SummonerFlash,260712,15006,17,5,0,0,JUNGLE,8,193872,17317,49521,4,EUW1_6311748918,1974
Nautilus,Peppe2502,1,24,SummonerHeal,SummonerFlash,26079,9603,15,7,0,0,UTILITY,0,8302,12629,5147,21,EUW1_6311748918,1974
Kalista,speraci,1,5,SummonerBoost,SummonerFlash,240696,19454,16,6,1,1,BOTTOM,17,232455,4683,3557,8,EUW1_6311748918,1974
Zac,Kim Jong Gandih,1,9,SummonerFlash,SummonerTeleport,150464,13720,17,1,0,0,TOP,6,19994,129066,1404,11,EUW1_6311748918,1974
Chogath,SecretsPrompt,1,5,SummonerTeleport,SummonerFlash,159797,11468,18,6,0,0,MIDDLE,4,26523,112267,21006,11,EUW1_6311748918,1974
MonkeyKing,Amico Mio,1,9,SummonerSmite,SummonerFlash,225438,10774,16,2,0,0,JUNGLE,1,140284,27229,57925,4,EUW1_6311645747,1747
Pantheon,Peppe2502,1,5,SummonerExhaust,SummonerFlash,45417,8181,13,3,0,0,UTILITY,1,39094,2695,3628,17,EUW1_6311645747,1747
Akali,speraci,1,5,SummonerTeleport,SummonerDot,133537,13462,17,7,1,0,TOP,11,15255,111558,6724,11,EUW1_6311645747,1747
Chogath,Kim Jong Gandih,1,4,SummonerFlash,SummonerTeleport,169673,13215,18,2,0,0,MIDDLE,10,22034,124072,23566,10,EUW1_6311645747,1747
Ezreal,SecretsPrompt,1,4,SummonerHeal,SummonerFlash,126519,10822,15,1,0,0,BOTTOM,5,110612,14947,960,8,EUW1_6311645747,1747
Udyr,BlueHurricaneSea,0,3,SummonerSmite,SummonerFlash,149853,8138,13,10,0,0,JUNGLE,1,41911,73905,34037,12,EUW1_6311645747,1747
Diana,Diana Chibi,0,6,SummonerFlash,SummonerDot,137923,10178,15,5,0,0,MIDDLE,2,20060,117173,690,15,EUW1_6311645747,1747
Fiora,Ãtem,0,3,SummonerDot,SummonerFlash,165750,14749,17,4,0,1,TOP,11,135192,861,29696,8,EUW1_6311645747,1747
Xayah,Löid Förger Yör,0,4,SummonerFlash,SummonerHeal,133500,10307,13,5,0,0,BOTTOM,1,124221,0,9279,14,EUW1_6311645747,1747
Morgana,eltopitoo,0,5,SummonerFlash,SummonerDot,37034,6354,13,4,0,0,UTILITY,0,2456,34189,387,9,EUW1_6311645747,1747
Yone,C2N14,0,7,SummonerDot,SummonerFlash,227866,14261,18,13,0,0,TOP,5,190196,28889,8780,14,EUW1_6311458291,2417
MonkeyKing,κaru,0,12,SummonerFlash,SummonerSmite,277415,19180,18,8,0,1,JUNGLE,18,186075,19495,71845,4,EUW1_6311458291,2417
Viktor,BIGDOG8,0,11,SummonerTeleport,SummonerFlash,180483,16497,18,9,0,0,MIDDLE,9,13152,163709,3622,11,EUW1_6311458291,2417
Tristana,serban95,0,5,SummonerFlash,SummonerHeal,256208,19308,18,9,1,0,BOTTOM,18,202734,34194,19279,9,EUW1_6311458291,2417
Morgana,renner15,0,23,SummonerDot,SummonerFlash,111512,14725,16,12,0,0,UTILITY,5,7503,99504,4503,37,EUW1_6311458291,2417
DrMundo,Heckenmoglii,1,16,SummonerTeleport,SummonerFlash,236582,15436,18,7,0,0,TOP,5,162737,55675,18170,15,EUW1_6311458291,2417
Lillia,Datty,1,14,SummonerSmite,SummonerFlash,327740,18562,18,14,0,0,JUNGLE,11,24256,202799,100680,1,EUW1_6311458291,2417
Pantheon,tishe4kaaa,1,7,SummonerDot,SummonerFlash,184657,19118,18,7,0,0,MIDDLE,19,171426,8299,4931,8,EUW1_6311458291,2417
Yasuo,Kim Jong Gandih,1,10,SummonerFlash,SummonerHeal,301620,19765,18,14,0,0,BOTTOM,14,289936,7896,3787,11,EUW1_6311458291,2417
Rakan,SecretsPrompt,1,20,SummonerDot,SummonerFlash,24518,9154,15,14,0,0,UTILITY,1,6793,9867,7857,38,EUW1_6311458291,2417
Chogath,Kim Jong Gandih,1,8,SummonerFlash,SummonerTeleport,109696,10253,16,4,0,0,TOP,5,22826,79701,7168,6,EUW1_6311413942,1550
Kayn,SnK Bacterie,1,9,SummonerFlash,SummonerSmite,205949,15226,16,2,0,0,JUNGLE,16,167884,0,38064,8,EUW1_6311413942,1550
Ryze,Ultimate Warher,1,7,SummonerTeleport,SummonerFlash,149626,12512,16,6,0,0,MIDDLE,9,10319,139168,138,6,EUW1_6311413942,1550
MissFortune,Bot Kenzea,1,9,SummonerHeal,SummonerFlash,96942,8686,13,4,0,0,BOTTOM,0,88833,1367,6741,8,EUW1_6311413942,1550
Morgana,SecretsPrompt,1,8,SummonerDot,SummonerFlash,27689,7429,12,6,0,0,UTILITY,4,2289,23127,2273,18,EUW1_6311413942,1550
Sett,Mashallinux,0,2,SummonerDot,SummonerFlash,88341,8574,14,7,1,0,TOP,4,71869,1962,14508,7,EUW1_6311413942,1550
Khazix,Crinjy,0,3,SummonerFlash,SummonerSmite,134567,11171,13,5,0,0,JUNGLE,7,103589,531,30445,7,EUW1_6311413942,1550
Mordekaiser,majooo20,0,4,SummonerFlash,SummonerHaste,91789,7530,13,9,0,0,MIDDLE,2,10403,77866,3520,4,EUW1_6311413942,1550
Caitlyn,Slim zebbi,0,3,SummonerFlash,SummonerHeal,107397,11543,12,7,0,0,BOTTOM,5,104042,414,2940,9,EUW1_6311413942,1550
Zilean,PONEY du ghetto,0,8,SummonerFlash,SummonerDot,31772,8212,12,6,0,0,UTILITY,4,2913,28116,741,16,EUW1_6311413942,1550
Kennen,Karlstrone,0,5,SummonerTeleport,SummonerFlash,114791,11691,17,10,0,0,TOP,6,21535,92156,1099,7,EUW1_6311323147,2056
XinZhao,Miowl,0,11,SummonerFlash,SummonerSmite,174127,13161,16,12,0,0,JUNGLE,6,131920,7354,34852,5,EUW1_6311323147,2056
Velkoz,Twayn GG,0,6,SummonerFlash,SummonerBarrier,96588,11199,15,12,0,0,MIDDLE,9,6395,74804,15388,12,EUW1_6311323147,2056
Kaisa,CraineR,0,8,SummonerHeal,SummonerFlash,183397,12918,17,10,0,0,BOTTOM,5,151129,23853,8414,13,EUW1_6311323147,2056
MissFortune,zXzip,0,7,SummonerDot,SummonerFlash,152879,17554,17,17,0,0,UTILITY,13,136343,4290,12245,32,EUW1_6311323147,2056
Zac,Kim Jong Gandih,1,16,SummonerFlash,SummonerTeleport,152258,16014,18,7,0,0,TOP,14,20515,125856,5886,10,EUW1_6311323147,2056
LeeSin,vio777,1,7,SummonerSmite,SummonerFlash,204699,12588,16,7,0,0,JUNGLE,8,128886,36562,39250,18,EUW1_6311323147,2056
Yasuo,l Łevy l,1,8,SummonerFlash,SummonerDot,169975,13858,17,11,0,0,MIDDLE,9,151966,7165,10844,10,EUW1_6311323147,2056
Ezreal,speraci,1,11,SummonerExhaust,SummonerFlash,195957,18321,17,6,1,0,BOTTOM,21,166252,26134,3570,7,EUW1_6311323147,2056
Lux,elchamakitolindo,1,28,SummonerFlash,SummonerBarrier,112447,14128,16,8,0,0,UTILITY,9,6817,103731,1897,35,EUW1_6311323147,2056
Irelia,Jesus0011,0,7,SummonerTeleport,SummonerFlash,227228,16121,18,16,0,0,TOP,6,185370,34388,7469,8,EUW1_6310903531,2323
Viego,GragCurry30,0,7,SummonerSmite,SummonerFlash,220691,15064,17,12,0,0,JUNGLE,9,165204,14778,40707,11,EUW1_6310903531,2323
Ekko,Kim Jong Gandih,0,10,SummonerFlash,SummonerTeleport,253810,20084,18,10,0,1,MIDDLE,22,24337,227209,2263,8,EUW1_6310903531,2323
Kaisa,Amico Mio,0,5,SummonerBoost,SummonerFlash,289149,16166,18,7,0,0,BOTTOM,7,224753,41319,23076,9,EUW1_6310903531,2323
Senna,Inv alpha,0,25,SummonerExhaust,SummonerFlash,115328,14764,17,10,0,0,UTILITY,7,115022,0,305,24,EUW1_6310903531,2323
Teemo,Moselmorm,1,12,SummonerDot,SummonerFlash,270974,23251,18,10,1,0,TOP,22,40328,220047,10597,9,EUW1_6310903531,2323
Rammus,wbldofz,1,15,SummonerSmite,SummonerFlash,198201,15514,18,12,0,0,JUNGLE,10,34742,112653,50806,9,EUW1_6310903531,2323
Yone,iBrasiikTV,1,7,SummonerFlash,SummonerDot,218787,15681,18,11,0,0,MIDDLE,9,176393,32076,10317,10,EUW1_6310903531,2323
Sivir,Flopiinh0,1,12,SummonerHeal,SummonerFlash,198908,16481,18,7,0,0,BOTTOM,9,189794,0,9114,13,EUW1_6310903531,2323
Swain,Torao16,1,18,SummonerFlash,SummonerDot,77044,11743,17,11,0,0,UTILITY,5,9138,61571,6334,15,EUW1_6310903531,2323
Zac,Kim Jong Gandih,1,11,SummonerFlash,SummonerTeleport,89175,11077,15,4,0,0,TOP,7,12459,75714,1001,10,EUW1_6310849708,1805
Warwick,Giga Cat Diff,1,7,SummonerSmite,SummonerFlash,190473,11746,15,4,1,0,JUNGLE,7,109469,50381,30622,3,EUW1_6310849708,1805
Ahri,ViP iTheNooB,1,9,SummonerDot,SummonerFlash,113942,11689,15,2,0,0,MIDDLE,8,13176,68820,31945,11,EUW1_6310849708,1805
MissFortune,Moederkoenk,1,12,SummonerHeal,SummonerFlash,172303,13747,15,4,0,0,BOTTOM,7,150755,6409,15138,16,EUW1_6310849708,1805
Velkoz,ViP iwhitehopers,1,15,SummonerExhaust,SummonerFlash,125604,11298,15,1,0,0,UTILITY,5,9502,96758,19343,21,EUW1_6310849708,1805
Urgot,Lucius111009,0,3,SummonerFlash,SummonerTeleport,149510,11942,14,6,0,1,TOP,4,139666,1328,8515,11,EUW1_6310849708,1805
Shaco,snaakez,0,5,SummonerDot,SummonerSmite,203136,9551,14,3,0,0,JUNGLE,2,79566,90423,33147,10,EUW1_6310849708,1805
Viktor,Generαl Lee,0,4,SummonerFlash,SummonerTeleport,145457,10606,16,7,0,0,MIDDLE,3,12178,131348,1930,11,EUW1_6310849708,1805
Taric,Kobayakawwa,0,10,SummonerFlash,SummonerDot,25765,6993,12,9,0,0,UTILITY,1,4787,15297,5679,19,EUW1_6310849708,1805
Nilah,DavieJns,0,3,SummonerFlash,SummonerHaste,137816,10984,13,9,0,0,BOTTOM,5,134804,0,3011,9,EUW1_6310849708,1805
Yuumi,Zerovskij,0,16,SummonerHeal,SummonerExhaust,18212,7913,14,7,0,0,UTILITY,2,233,17774,204,12,EUW1_6310455404,1748
Warwick,ErrGeGiu,0,5,SummonerSmite,SummonerFlash,97415,8830,13,13,0,0,JUNGLE,5,48962,26501,21951,6,EUW1_6310455404,1748
Zac,Kim Jong Gandih,0,4,SummonerFlash,SummonerTeleport,100457,11780,16,6,0,0,TOP,8,15320,78785,6351,7,EUW1_6310455404,1748
Zeri,Amico Mio,0,9,SummonerHaste,SummonerFlash,206079,14685,14,10,0,0,BOTTOM,10,142428,24336,39313,7,EUW1_6310455404,1748
Camille,Peppe2502,0,9,SummonerDot,SummonerFlash,121907,9972,15,10,0,0,MIDDLE,5,97870,1291,22745,3,EUW1_6310455404,1748
Darius,GerArmagedon,1,8,SummonerHaste,SummonerFlash,130598,12587,16,3,0,0,TOP,7,124495,0,6102,10,EUW1_6310455404,1748
MasterYi,RaayR4y,1,8,SummonerFlash,SummonerSmite,239776,13464,16,8,0,0,JUNGLE,11,173048,38,66691,9,EUW1_6310455404,1748
Varus,PabloEscobardooo,1,11,SummonerFlash,SummonerDot,110724,11439,14,10,1,0,MIDDLE,8,54499,49261,6964,7,EUW1_6310455404,1748
Samira,DJpAddY96,1,9,SummonerExhaust,SummonerFlash,204275,18551,16,4,0,0,BOTTOM,19,184357,15410,4508,7,EUW1_6310455404,1748
Soraka,Miranuka,1,22,SummonerFlash,SummonerExhaust,12181,8892,14,6,0,1,UTILITY,1,2538,9643,0,12,EUW1_6310455404,1748
Riven,Dωωmsαyer,1,4,SummonerFlash,SummonerDot,238064,17551,18,7,0,0,TOP,13,236731,0,1333,7,EUW1_6309063617,2194
Zed,AcgTino,1,5,SummonerFlash,SummonerSmite,275990,14318,18,5,0,0,JUNGLE,8,201197,42055,32738,3,EUW1_6309063617,2194
Aatrox,moderfokincharly,1,13,SummonerFlash,SummonerDot,139994,13545,17,8,0,0,MIDDLE,8,132345,0,7649,13,EUW1_6309063617,2194
